date,trips
2015-01-01,74620
2015-01-02,61560
2015-01-03,81496
2015-01-04,62365
2015-01-05,70595
2015-01-06,80901
2015-01-07,92253
2015-01-08,103040
2015-01-09,98686
2015-01-10,103325
2015-01-11,80304
2015-01-12,87114
2015-01-13,93773
2015-01-14,94155
2015-01-15,99494
2015-01-16,104061
2015-01-17,98363
2015-01-18,95187
2015-01-19,67100
2015-01-20,83243
2015-01-21,88124
2015-01-22,95578
2015-01-23,102086
2015-01-24,102847
2015-01-25,80509
2015-01-26,62810
2015-01-27,32777
2015-01-28,88144
2015-01-29,100558
2015-01-30,115879
2015-01-31,119839
2015-02-01,101403
2015-02-02,91856
2015-02-03,101741
2015-02-04,100212
2015-02-05,114928
2015-02-06,119351
2015-02-07,108211
2015-02-08,87835
2015-02-09,91031
2015-02-10,96857
2015-02-11,105480
2015-02-12,116694
2015-02-13,131011
2015-02-14,126311
2015-02-15,114221
2015-02-16,98888
2015-02-17,100984
2015-02-18,103735
2015-02-19,122575
2015-02-20,135286
2015-02-21,119669
2015-02-22,89118
2015-02-23,103799
2015-02-24,112600
2015-02-25,107801
2015-02-26,117405
2015-02-27,120173
2015-02-28,114008
2015-03-01,94159
2015-03-02,89591
2015-03-03,106511
2015-03-04,106036
2015-03-05,101643
2015-03-06,115545
2015-03-07,112928
2015-03-08,90175
2015-03-09,85898
2015-03-10,104791
2015-03-11,98635
2015-03-12,112819
2015-03-13,113674
2015-03-14,124138
2015-03-15,92366
2015-03-16,87086
2015-03-17,94537
2015-03-18,104360
2015-03-19,110847
2015-03-20,128832
2015-03-21,112030
2015-03-22,98810
2015-03-23,93378
2015-03-24,96078
2015-03-25,106755
2015-03-26,112368
2015-03-27,119869
2015-03-28,123934
2015-03-29,104405
2015-03-30,94457
2015-03-31,108817
2015-04-01,125456
2015-04-02,129668
2015-04-03,126376
2015-04-04,113562
2015-04-05,101810
2015-04-06,102823
2015-04-07,121342
2015-04-08,126662
2015-04-09,133273
2015-04-10,136399
2015-04-11,128328
2015-04-12,116321
2015-04-13,110980
2015-04-14,118971
2015-04-15,124212
2015-04-16,137017
2015-04-17,140885
2015-04-18,140908
