date,trips
2019-02-01,860161
2019-02-02,866393
2019-02-03,756721
2019-02-04,592170
2019-02-05,576476
2019-02-06,663516
2019-02-07,649575
2019-02-08,780194
2019-02-09,910504
2019-02-10,749913
2019-02-11,616421
2019-02-12,673693
2019-02-13,677798
2019-02-14,724807
2019-02-15,742396
2019-02-16,811613
2019-02-17,740910
2019-02-18,595367
2019-02-19,605791
2019-02-20,660335
2019-02-21,669909
2019-02-22,774664
2019-02-23,887458
2019-02-24,772361
2019-02-25,657598
2019-02-26,679770
2019-02-27,716213
2019-02-28,746375
2019-03-01,837591
2019-03-02,900381
2019-03-03,796165
2019-03-04,621067
2019-03-05,710006
2019-03-06,768805
2019-03-07,791298
2019-03-08,853746
2019-03-09,922937
2019-03-10,812902
2019-03-11,662596
2019-03-12,696695
2019-03-13,713451
2019-03-14,745098
2019-03-15,839208
2019-03-16,917832
2019-03-17,779620
2019-03-18,647690
2019-03-19,649367
2019-03-20,679367
2019-03-21,809819
2019-03-22,846827
2019-03-23,901664
2019-03-24,757563
2019-03-25,636513
2019-03-26,660567
2019-03-27,690214
2019-03-28,723336
2019-03-29,802358
2019-03-30,895198
2019-03-31,794717
2019-04-01,663306
2019-04-02,663241
2019-04-03,676834
2019-04-04,726945
2019-04-05,877567
2019-04-06,885213
2019-04-07,761886
2019-04-08,644846
2019-04-09,682418
2019-04-10,673417
2019-04-11,722258
2019-04-12,833887
2019-04-13,896767
2019-04-14,775585
2019-04-15,697529
2019-04-16,662155
2019-04-17,684884
2019-04-18,721281
2019-04-19,756606
2019-04-20,806580
2019-04-21,703251
2019-04-22,622729
2019-04-23,600875
2019-04-24,617083
2019-04-25,689859
2019-04-26,805053
2019-04-27,843707
2019-04-28,751834
2019-04-29,631914
2019-04-30,655312
2019-05-01,699049
2019-05-02,739749
2019-05-03,815626
2019-05-04,898821
2019-05-05,854333
2019-05-06,628123
2019-05-07,650603
2019-05-08,632551
2019-05-09,697124
2019-05-10,781839
2019-05-11,853403
2019-05-12,857727
