date,trips
2014-01-01,25616
2014-01-02,19061
2014-01-03,13436
2014-01-04,23697
2014-01-05,20560
2014-01-06,20606
2014-01-07,22719
2014-01-08,22579
2014-01-09,23483
2014-01-10,27553
2014-01-11,29799
2014-01-12,24386
2014-01-13,20853
2014-01-14,22052
2014-01-15,23993
2014-01-16,26003
2014-01-17,31040
2014-01-18,34987
2014-01-19,30264
2014-01-20,20593
2014-01-21,15490
2014-01-22,21734
2014-01-23,30249
2014-01-24,35203
2014-01-25,36265
2014-01-26,29431
2014-01-27,25520
2014-01-28,27263
2014-01-29,29285
2014-01-30,31852
2014-01-31,38288
2014-02-01,40942
2014-02-02,34846
2014-02-03,23131
2014-02-04,29559
2014-02-05,25848
2014-02-06,33749
2014-02-07,40028
2014-02-08,45302
2014-02-09,34875
2014-02-10,29984
2014-02-11,34431
2014-02-12,37638
2014-02-13,21777
2014-02-14,45177
2014-02-15,44191
2014-02-16,38390
2014-02-17,29656
2014-02-18,28463
2014-02-19,31804
2014-02-20,35499
2014-02-21,40207
2014-02-22,48519
2014-02-23,39798
2014-02-24,32957
2014-02-25,33827
2014-02-26,35749
2014-02-27,40467
2014-02-28,48428
2014-03-01,49572
2014-03-02,39448
2014-03-03,35235
2014-03-04,34851
2014-03-05,37197
2014-03-06,40510
2014-03-07,47370
2014-03-08,51668
2014-03-09,40997
2014-03-10,32757
2014-03-11,33376
2014-03-12,37822
2014-03-13,43134
2014-03-14,47015
2014-03-15,53583
2014-03-16,44755
2014-03-17,35062
2014-03-18,34357
2014-03-19,39483
2014-03-20,39491
2014-03-21,45708
2014-03-22,52977
2014-03-23,44532
2014-03-24,35662
2014-03-25,34753
2014-03-26,39823
2014-03-27,41230
2014-03-28,46064
2014-03-29,56905
2014-03-30,42861
2014-03-31,35273
2014-04-01,36512
2014-04-02,37709
2014-04-03,41881
2014-04-04,51783
2014-04-05,57164
2014-04-06,47171
2014-04-07,39271
2014-04-08,35554
2014-04-09,38788
2014-04-10,41799
2014-04-11,48702
2014-04-12,57320
2014-04-13,46006
2014-04-14,34652
2014-04-15,38835
2014-04-16,38384
2014-04-17,42568
2014-04-18,46019
2014-04-19,52701
2014-04-20,46248
2014-04-21,32683
2014-04-22,34024
2014-04-23,40064
2014-04-24,41826
2014-04-25,50083
2014-04-26,60442
2014-04-27,48392
2014-04-28,34824
2014-04-29,39995
2014-04-30,47755
2014-05-01,44181
2014-05-02,54523
2014-05-03,62233
2014-05-04,48157
2014-05-05,36845
2014-05-06,37849
2014-05-07,39618
2014-05-08,43893
2014-05-09,51142
2014-05-10,58686
2014-05-11,51600
2014-05-12,36439
2014-05-13,38013
2014-05-14,40955
2014-05-15,43662
2014-05-16,53685
2014-05-17,57485
2014-05-18,49635
2014-05-19,36476
2014-05-20,37218
2014-05-21,40111
